,problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,found
753,smallest,cohort,10,0_00000,False,False,-1,2410,10,10,False,-1,2,141102,smallest/cohort/10/0_00000/141102/,FALSE
784,smallest,cohort,10,0_00000,False,False,-1,2925,10,10,True,0,33,141133,smallest/cohort/10/0_00000/141133/,FALSE
1005,smallest,cohort,5,0_00000,False,False,-1,3751,5,5,True,6,4,142104,smallest/cohort/5/0_00000/142104/,FALSE
1008,smallest,cohort,5,0_00000,False,False,-1,4886,5,5,True,0,7,142107,smallest/cohort/5/0_00000/142107/,FALSE
1009,smallest,cohort,5,0_00000,False,False,-1,3515,5,5,True,0,8,142108,smallest/cohort/5/0_00000/142108/,FALSE
1065,smallest,cohort,5,0_50000,False,False,-1,5299,5,5,False,-1,14,142214,smallest/cohort/5/0_50000/142214/,FALSE
1150,smallest,cohort,5,0_75000,False,False,-1,4551,5,5,True,1,49,142349,smallest/cohort/5/0_75000/142349/,FALSE
3552,smallest,downsampled,5,0_50000,False,False,-1,2824,5,5,False,-1,1,152201,smallest/downsampled/5/0_50000/152201/,FALSE
3578,smallest,downsampled,5,0_50000,False,False,-1,5738,5,5,False,-1,27,152227,smallest/downsampled/5/0_50000/152227/,FALSE
8342,for-loop-index,cohort,10,0_50000,False,False,-1,2578,10,8,False,-1,41,241241,for-loop-index/cohort/10/0_50000/241241/,FALSE
8402,for-loop-index,cohort,10,0_90000,False,False,-1,2699,10,7,False,-1,1,241401,for-loop-index/cohort/10/0_90000/241401/,FALSE
8441,for-loop-index,cohort,10,0_90000,False,False,-1,1813,10,6,False,-1,40,241440,for-loop-index/cohort/10/0_90000/241440/,FALSE
8553,for-loop-index,cohort,5,0_50000,False,False,-1,5014,5,5,False,-1,2,242202,for-loop-index/cohort/5/0_50000/242202/,FALSE
8560,for-loop-index,cohort,5,0_50000,False,False,-1,1657,5,5,False,-1,9,242209,for-loop-index/cohort/5/0_50000/242209/,FALSE
8574,for-loop-index,cohort,5,0_50000,False,False,-1,2599,5,5,False,-1,23,242223,for-loop-index/cohort/5/0_50000/242223/,FALSE
8576,for-loop-index,cohort,5,0_50000,False,False,-1,1291,5,5,False,-1,25,242225,for-loop-index/cohort/5/0_50000/242225/,FALSE
8577,for-loop-index,cohort,5,0_50000,False,False,-1,2059,5,5,False,-1,26,242226,for-loop-index/cohort/5/0_50000/242226/,FALSE
8598,for-loop-index,cohort,5,0_50000,False,False,-1,5999,5,5,False,-1,47,242247,for-loop-index/cohort/5/0_50000/242247/,FALSE
8652,for-loop-index,cohort,5,0_90000,False,False,-1,4699,5,5,False,-1,1,242401,for-loop-index/cohort/5/0_90000/242401/,FALSE
