id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth
338438,[336834],371,inf,1,1,0,0,326
338437,[337306],371,inf,1,1,0,0,327
338436,[336834],371,inf,1,1,0,0,326
338434,[337306],371,inf,1,1,0,0,327
338432,[336709],371,inf,1,1,0,0,324
338430,[337306],371,inf,1,1,0,0,327
338429,[336709],371,inf,1,1,0,0,324
338427,[337306],371,inf,1,1,0,0,327
338425,[336989],371,inf,1,1,0,0,329
338424,[336989],371,inf,1,1,0,0,329
338423,[336834],371,inf,1,1,0,0,326
338422,[337306],371,inf,1,1,0,0,327
338421,[336834],371,inf,1,1,0,0,326
338420,[336834],371,inf,1,1,0,0,326
338418,[336989],371,inf,1,1,0,0,329
338417,[337306],371,inf,1,1,0,0,327
338416,[336834],371,inf,1,1,0,0,326
338413,[336709],371,inf,1,1,0,0,324
338412,[337306],371,inf,1,1,0,0,327
338411,[336834],371,inf,1,1,0,0,326
338410,[336989],371,inf,1,1,0,0,329
338409,[336989],371,inf,1,1,0,0,329
338408,[336989],371,inf,1,1,0,0,329
338405,[336709],371,inf,1,1,0,0,324
338404,[336709],371,inf,1,1,0,0,324
338403,[336709],371,inf,1,1,0,0,324
338402,[336989],371,inf,1,1,0,0,329
338401,[336989],371,inf,1,1,0,0,329
338399,[336709],371,inf,1,1,0,0,324
338398,[336989],371,inf,1,1,0,0,329
338396,[336709],371,inf,1,1,0,0,324
338394,[336834],371,inf,1,1,0,0,326
338392,[337302],371,inf,1,1,0,0,323
338389,[337246],371,inf,1,1,0,0,325
338387,[336794],371,inf,1,1,0,0,322
338386,[337510],371,inf,1,1,0,0,323
338385,[337190],371,inf,1,1,0,0,321
338384,[337246],371,inf,1,1,0,0,325
338383,[337424],371,inf,1,1,0,0,323
338380,[337068],371,inf,1,1,0,0,322
338378,[337341],371,inf,1,1,0,0,325
338376,[336660],371,inf,1,1,0,0,322
338375,[337424],371,inf,1,1,0,0,323
338374,[337447],371,inf,1,1,0,0,323
338373,[337246],371,inf,1,1,0,0,325
338372,[337062],371,inf,1,1,0,0,326
338371,[337293],371,inf,1,1,0,0,324
338370,[337418],371,inf,1,1,0,0,326
338368,[336964],371,inf,1,1,0,0,321
338366,[337052],371,inf,1,1,0,0,325
338365,[337052],371,inf,1,1,0,0,325
338362,[337246],371,inf,1,1,0,0,325
338359,[337068],371,inf,1,1,0,0,322
338358,[336660],371,inf,1,1,0,0,322
338357,[337090],371,inf,1,1,0,0,320
338356,[336869],371,inf,1,1,0,0,329
338355,[337185],371,inf,1,1,0,0,323
338354,[337302],371,inf,1,1,0,0,323
338353,[337090],371,inf,1,1,0,0,320
338352,[336794],371,inf,1,1,0,0,322
338351,[337313],371,inf,1,1,0,0,321
338350,[337278],371,inf,1,1,0,0,320
338348,[336964],371,inf,1,1,0,0,321
338347,[337124],371,inf,1,1,0,0,321
338345,[336689],371,inf,1,1,0,0,324
338344,[336689],371,inf,1,1,0,0,324
338343,[336689],371,inf,1,1,0,0,324
338341,[336689],371,inf,1,1,0,0,324
338340,[336689],371,inf,1,1,0,0,324
338339,[336689],371,inf,1,1,0,0,324
338338,[336689],371,inf,1,1,0,0,324
338334,[336689],371,inf,1,1,0,0,324
338332,[336689],371,inf,1,1,0,0,324
338331,[336689],371,inf,1,1,0,0,324
338328,[336689],371,inf,1,1,0,0,324
338327,[336689],371,inf,1,1,0,0,324
338326,[336689],371,inf,1,1,0,0,324
338325,[336689],371,inf,1,1,0,0,324
338324,[336689],371,inf,1,1,0,0,324
338323,[336689],371,inf,1,1,0,0,324
338322,[336689],371,inf,1,1,0,0,324
338321,[336689],371,inf,1,1,0,0,324
338320,[336689],371,inf,1,1,0,0,324
338318,[336689],371,inf,1,1,0,0,324
